city,district,neighbourhood,room,living_room,size,age,floor,price
İzmir , Balçova , Fevzi Çakmak Mah.,3,1,135,31,2,5500000
İzmir , Karabağlar , Basın Sitesi Mah.,2,1,85,31,1,2950000
İzmir , Bayraklı , Manavkuyu Mah.,3,1,110,0,7,6500000
İzmir , Konak , Güzelyalı Mah.,3,1,125,31,3,4950000
İzmir , Karabağlar , Ali Fuat Cebesoy Mah.,3,1,110,0,3,4750000
İzmir , Balçova , Korutürk Mah.,2,1,110,26,2,5450000
İzmir , Konak , Murat Reis Mah.,3,1,125,31,3,4500000
İzmir , Konak , Kılıç Reis Mah.,3,1,160,0,3,7500000
İzmir , Balçova , Eğitim Mah.,3,1,145,11,2,4150000
İzmir , Karabağlar , Bahçelievler Mah.,2,1,90,31,3,3275000
İzmir , Konak , Güzelyalı Mah.,2,1,110,21,0,3575000
İzmir , Konak , Çankaya Mah.,3,1,125,31,2,4300000
İzmir , Foça , Atatürk Mah.,2,1,85,27,3,5250000
İzmir , Konak , Atilla Mah.,2,1,85,25,4,2600000
İzmir , Torbalı , Torbalı Mah.,3,1,135,0,1,4200000
İzmir , Karabağlar , Esenlik Mah.,2,1,100,35,5,1990000
İzmir , Buca , İzkent Mah.,2,1,105,2,3,4950000
İzmir , Menemen , İnönü Mah.,4,1,150,4,0,6500000
İzmir , Dikili , İsmetpaşa Mah.,2,1,90,0,2,3000000
İzmir , Buca , Hürriyet Mah.,2,1,95,3,4,3400000
İzmir , Torbalı , Yazıbaşı Mah.,2,1,120,12,0,7900000
İzmir , Buca , Hürriyet Mah.,2,1,70,4,3,2600000
İzmir , Bayraklı , Mansuroğlu Mah.,2,1,73,0,5,6250000
İzmir , Dikili , İsmetpaşa Mah.,2,1,80,0,3,2700000
İzmir , Çiğli , Balatçık Mah.,1,1,40,2,1,2950000
İzmir , Menderes , Ataköy Mah.,2,1,300,15,0,3750000
İzmir , Çiğli , Esentepe Mah.,3,1,115,21,7,3700000
İzmir , Çiğli , Uğur Mumcu Mah.,2,1,87,1,6,3175000
İzmir , Çiğli , Balatçık Mah.,1,1,45,4,1,2250000
İzmir , Urla , Atatürk Mah.,1,1,228,30,0,4600000
İzmir , Çiğli , İzkent Mah.,2,1,75,21,5,2950000
İzmir , Karabağlar , Esenyalı Mah.,3,1,150,30,3,6900000
İzmir , Karabağlar , Basın Sitesi Mah.,3,1,180,40,0,5750000
İzmir , Karabağlar , Basın Sitesi Mah.,3,1,160,10,1,5750000
İzmir , Karşıyaka , Fikri Altay Mah.,2,1,100,11,4,5250000
İzmir , Çiğli , Çağdaş Mah.,3,1,110,16,6,3250000
İzmir , Karabağlar , Basın Sitesi Mah.,3,1,160,10,1,5750000
İzmir , Konak , Murat Reis Mah.,3,1,135,35,3,3490000
İzmir , Konak , Altıntaş Mah.,2,1,95,29,1,3200000
İzmir , Karabağlar , Bahçelievler Mah.,2,1,120,35,3,3500000
İzmir , Foça , Atatürk Mah.,3,1,120,35,2,6500000
