city,district,neighbourhood,room,living_room,size,age,floor,price
İzmir , Çiğli , Ataşehir Mah.,3,1,150,11,2,6800000
İzmir , Gaziemir , Gazi Mah.,3,1,135,13,4,5500000
İzmir , Buca , Hürriyet Mah.,3,1,127,28,1,2775000
İzmir , Seferihisar , Mersin Alanı Mah.,2,1,80,4,1,4200000
İzmir , Foça , Mustafa Kemal Atatürk Mah.,2,1,90,2,3,4500000
İzmir , Menderes , Mithatpaşa Mah.,4,1,220,0,0,10800000
İzmir , Çiğli , Ataşehir Mah.,3,1,160,11,4,7300000
İzmir , Buca , Atatürk Mah.,2,1,75,4,0,2500000
İzmir , Seferihisar , Kavakdere Mah.,2,1,160,0,0,6000000
İzmir , Konak , Kılıç Reis Mah.,3,1,110,35,1,3000000
İzmir , Çiğli , Ataşehir Mah.,3,1,145,15,1,6550000
İzmir , Karşıyaka , İmbatlı Mah.,3,1,110,0,1,4600000
İzmir , Menderes , Barbaros Mah.,4,1,240,0,0,10500000
İzmir , Foça , Mustafa Kemal Atatürk Mah.,1,1,65,5,2,3500000
İzmir , Seferihisar , Mersin Alanı Mah.,2,1,90,6,3,4450000
İzmir , Konak , Barbaros Mah.,2,1,160,35,1,2800000
İzmir , Torbalı , Atatürk Mah.,4,1,230,0,3,3500000
İzmir , Urla , Zeytinalanı Mah.,3,1,160,5,0,13000000
İzmir , Çiğli , Egekent Mah.,3,1,105,35,3,2500000
İzmir , Konak , Alsancak Mah.,2,1,120,35,4,6500000
İzmir , Buca , Vali Rahmi Bey Mah.,3,1,170,16,4,5200000
İzmir , Foça , Fevzi Çakmak Mah.,2,1,70,5,0,5500000
İzmir , Konak , Barbaros Mah.,1,1,70,30,0,1350000
İzmir , Bornova , İnönü Mah.,1,1,58,0,3,3200000
İzmir , Bayraklı , Fuat Edip Baksı Mah.,1,1,150,30,0,3250000
İzmir , Karşıyaka , Aksoy Mah.,2,1,110,35,2,4750000
İzmir , Çiğli , Ataşehir Mah.,3,1,140,8,2,5600000
İzmir , Buca , Buca Koop. Mah.,3,1,135,20,6,3720000
İzmir , Torbalı , Ertuğrul Mah.,2,1,100,5,5,2735000
İzmir , Bornova , Doğanlar Mah.,3,1,145,26,3,3250000
İzmir , Bayraklı , Çiçek Mah.,2,1,160,30,3,4500000
İzmir , Çiğli , Yeni Mahalle Mah.,3,1,145,6,1,4150000
İzmir , Ödemiş , İnönü Mah.,3,1,150,15,3,3250000
İzmir , Urla , Barbaros Mah.,2,1,86,5,0,8500000
İzmir , Narlıdere , Çamtepe Mah.,3,1,130,30,4,5500000
İzmir , Dikili , Gazipaşa Mah.,2,1,100,25,5,3900000
İzmir , Konak , Güzelyalı Mah.,2,1,85,30,1,2950000
İzmir , Menemen , İstiklal Mah.,2,1,90,1,5,4150000
İzmir , Karşıyaka , Bostanlı Mah.,3,1,110,36,4,4000000
İzmir , Karşıyaka , Bostanlı Mah.,3,1,130,31,1,4670000
İzmir , Karşıyaka , Aksoy Mah.,2,1,130,0,4,9250000
İzmir , Balçova , Korutürk Mah.,3,1,140,30,-1,3950000
İzmir , Bornova , İnönü Mah.,2,1,86,10,3,4200000
İzmir , Buca , Kozağaç Mah.,3,1,115,27,3,2750000
İzmir , Menemen , Cumhuriyet Mah.,2,1,80,4,1,2690000
İzmir , Konak , Mecidiye Mah.,2,1,130,30,2,3300000
İzmir , Foça , Cumhuriyet Mah.,4,1,130,0,1,10800000
İzmir , Çiğli , Köyiçi Mah.,2,1,145,31,0,7000000
